WHOREGION,ITZ,COUNTRY/AREA/TERRITORY,COUNTRY_CODE,ORIGIN_SOURCE,ISO_YEAR,ISO_WEEK,ISO_SDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BVIC,BYAM,BNOTDETERMINED,INF_B,INF_ALL,INF_NEGATIVE,ILI_ACTIVITY
AMR,FLU_CNT_AMC,Anguilla,AIA,SENTINEL,2020,2,2020-01-06T06:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Anguilla,AIA,SENTINEL,2020,3,2020-01-13T06:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Anguilla,AIA,SENTINEL,2020,4,2020-01-20T06:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Anguilla,AIA,SENTINEL,2020,5,2020-01-27T06:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Anguilla,AIA,SENTINEL,2020,6,2020-02-03T06:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Anguilla,AIA,SENTINEL,2020,7,2020-02-10T06:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Anguilla,AIA,SENTINEL,2020,8,2020-02-17T06:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Anguilla,AIA,SENTINEL,2020,9,2020-02-24T06:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Anguilla,AIA,SENTINEL,2020,10,2020-03-02T06:00:00.000Z,,1,,,,,,,,,,,,1,1
AMR,FLU_CNT_AMC,Anguilla,AIA,SENTINEL,2020,11,2020-03-09T05:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Anguilla,AIA,SENTINEL,2020,12,2020-03-16T05:00:00.000Z,,1,,,,,,,,,,,,1,1
AMR,FLU_CNT_AMC,Anguilla,AIA,SENTINEL,2020,13,2020-03-23T05:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Anguilla,AIA,SENTINEL,2020,14,2020-03-30T05:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Anguilla,AIA,SENTINEL,2020,15,2020-04-06T05:00:00.000Z,,0,,,,,,,,,,,,0,1
AMR,FLU_CNT_AMC,Anguilla,AIA,SENTINEL,2020,16,2020-04-13T05:00:00.000Z,,0,,,,,,,,,,,,0,1
